benchmark,representation,n_features,n_samples,cache_key,construction,candidate_feature_sets,candidate_feature_set_counts_json
mc3_main,burden_only,3,10224,main_complete_panel_mc3_standard_features_b51f8b5ae4d45407a30592e9,MC3 cached burden-only matrix,,
mc3_main,standard_sbs96_id83,182,10224,main_complete_panel_mc3_standard_features_b51f8b5ae4d45407a30592e9,MC3 cached SBS96+ID83 signature matrix,,
mc3_main,MAF_stack_only,948,10224,main_complete_panel_mc3_maf_stack_bio_v4_nested_fs_d6edd8e534e20d8f3900f40a,"MC3/HRD maf_stack_bio_v4_nested_fs; Bio MAF v4 with fixed external resources and nested inner-loop feature-block selection ({""v4_compact_biology_only"": 121, ""v4_compact_plus_driver_evidence_tiers"": 137, ""v4_compact_plus_exact_driver_genes"": 923, ""v4_compact_plus_hotspot_summary"": 125, ""v4_full_core"": 943, ""v4_full_core_plus_optional_controls"": 948})",v4_compact_biology_only;v4_compact_plus_driver_evidence_tiers;v4_compact_plus_exact_driver_genes;v4_compact_plus_hotspot_summary;v4_full_core;v4_full_core_plus_optional_controls,"{""v4_compact_biology_only"": 121, ""v4_compact_plus_driver_evidence_tiers"": 137, ""v4_compact_plus_exact_driver_genes"": 923, ""v4_compact_plus_hotspot_summary"": 125, ""v4_full_core"": 943, ""v4_full_core_plus_optional_controls"": 948}"
mc3_main,signatures_plus_MAF_stack,1130,10224,main_complete_panel_mc3_signatures_plus_maf_stack_bio_v4_nested_fs_9cce34fc4a9671061d0a7619,"MC3/HRD signatures_plus_maf_stack_bio_v4_nested_fs; Bio MAF v4 with fixed external resources and nested inner-loop feature-block selection ({""signatures_only"": 182, ""signatures_plus_v4_compact_biology_only"": 303, ""signatures_plus_v4_compact_plus_driver_evidence_tiers"": 319, ""signatures_plus_v4_compact_plus_exact_driver_genes"": 1105, ""signatures_plus_v4_compact_plus_hotspot_summary"": 307, ""signatures_plus_v4_full_core"": 1125, ""signatures_plus_v4_full_core_plus_optional_controls"": 1130})",signatures_only;signatures_plus_v4_compact_biology_only;signatures_plus_v4_compact_plus_driver_evidence_tiers;signatures_plus_v4_compact_plus_exact_driver_genes;signatures_plus_v4_compact_plus_hotspot_summary;signatures_plus_v4_full_core;signatures_plus_v4_full_core_plus_optional_controls,"{""signatures_only"": 182, ""signatures_plus_v4_compact_biology_only"": 303, ""signatures_plus_v4_compact_plus_driver_evidence_tiers"": 319, ""signatures_plus_v4_compact_plus_exact_driver_genes"": 1105, ""signatures_plus_v4_compact_plus_hotspot_summary"": 307, ""signatures_plus_v4_full_core"": 1125, ""signatures_plus_v4_full_core_plus_optional_controls"": 1130}"
tcga_cdr_survival,burden_only,3,10224,main_complete_panel_mc3_standard_features_04b248bbcc74918fc72eac1f,MC3 cached burden-only matrix,,
tcga_cdr_survival,standard_sbs96_id83,182,10224,main_complete_panel_mc3_standard_features_04b248bbcc74918fc72eac1f,MC3 cached SBS96+ID83 signature matrix,,
tcga_cdr_survival,MAF_stack_only,948,10224,main_complete_panel_mc3_maf_stack_bio_v4_nested_fs_aabda9c91566c484e6277669,"MC3/HRD maf_stack_bio_v4_nested_fs; Bio MAF v4 with fixed external resources and nested inner-loop feature-block selection ({""v4_compact_biology_only"": 121, ""v4_compact_plus_driver_evidence_tiers"": 137, ""v4_compact_plus_exact_driver_genes"": 923, ""v4_compact_plus_hotspot_summary"": 125, ""v4_full_core"": 943, ""v4_full_core_plus_optional_controls"": 948})",v4_compact_biology_only;v4_compact_plus_driver_evidence_tiers;v4_compact_plus_exact_driver_genes;v4_compact_plus_hotspot_summary;v4_full_core;v4_full_core_plus_optional_controls,"{""v4_compact_biology_only"": 121, ""v4_compact_plus_driver_evidence_tiers"": 137, ""v4_compact_plus_exact_driver_genes"": 923, ""v4_compact_plus_hotspot_summary"": 125, ""v4_full_core"": 943, ""v4_full_core_plus_optional_controls"": 948}"
tcga_cdr_survival,signatures_plus_MAF_stack,1130,10224,main_complete_panel_mc3_signatures_plus_maf_stack_bio_v4_nested_fs_9cce34fc4a9671061d0a7619,"MC3/HRD signatures_plus_maf_stack_bio_v4_nested_fs; Bio MAF v4 with fixed external resources and nested inner-loop feature-block selection ({""signatures_only"": 182, ""signatures_plus_v4_compact_biology_only"": 303, ""signatures_plus_v4_compact_plus_driver_evidence_tiers"": 319, ""signatures_plus_v4_compact_plus_exact_driver_genes"": 1105, ""signatures_plus_v4_compact_plus_hotspot_summary"": 307, ""signatures_plus_v4_full_core"": 1125, ""signatures_plus_v4_full_core_plus_optional_controls"": 1130})",signatures_only;signatures_plus_v4_compact_biology_only;signatures_plus_v4_compact_plus_driver_evidence_tiers;signatures_plus_v4_compact_plus_exact_driver_genes;signatures_plus_v4_compact_plus_hotspot_summary;signatures_plus_v4_full_core;signatures_plus_v4_full_core_plus_optional_controls,"{""signatures_only"": 182, ""signatures_plus_v4_compact_biology_only"": 303, ""signatures_plus_v4_compact_plus_driver_evidence_tiers"": 319, ""signatures_plus_v4_compact_plus_exact_driver_genes"": 1105, ""signatures_plus_v4_compact_plus_hotspot_summary"": 307, ""signatures_plus_v4_full_core"": 1125, ""signatures_plus_v4_full_core_plus_optional_controls"": 1130}"
kucab_damage_class,burden_only,1,259,kucab_event_inventory_kucab_damage_class_7e1e0eaeb4b58637ff428f99,Kucab raw-event spectra/burden from FASTA-validated event inventory,,
kucab_damage_class,standard_sbs96_dbs78_id83,261,259,kucab_event_inventory_kucab_damage_class_7e1e0eaeb4b58637ff428f99,Kucab raw-event spectra/burden from FASTA-validated event inventory,,
