plot_data_file,run_id,endpoint,endpoint_display,endpoint_tier,endpoint_tier_display,endpoint_family,task,task_display,representation,representation_display,representation_family,representation_family_display,atlas_status,atlas_status_display,model_family,model_display,model_label,model_label_display,metric,metric_display,primary_score,auroc,auprc,accuracy,f1,balanced_accuracy,delta_vs_signatures,ci_low,ci_high,p_value,q_value,n_samples,n_features,folds,repeats,xgb_estimators,optuna_trials_completed,cache_key,oof_prediction_file,fold_metrics_file,na_reason,split_strategy,experiment_id,source_file,bundle_table,source_priority,expected_source,status,canonical_source,canonical_slot_id,comparison_id,baseline_representation,baseline_representation_display,candidate_representation,candidate_representation_display,delta,test_name,q_value_figure,significance_label,calibration_mode,calibration_mode_display,bin,bin_left,bin_right,mean_predicted,observed_frequency,analysis_family,analysis_family_display,display_model,display_model_display,selection_policy
figure_2_signature_baselines.csv,20260524T162414Z,damage_class,Kucab damage class,main,Main,kucab_damage_class,multiclass_grouped,Grouped multiclass,burden_only,Mutational burden,burden_only,Mutational burden,no UGA atlas,No UGA atlas,elastic_net,Elastic net,linear,Linear,macro_auroc,macro-AUROC,0.4594700024996611,0.4594700024996611,,0.1351351351351351,0.1025871732039962,0.1075708701484876,,,,,,259.0,1.0,5.0,1.0,,0.0,one_hot_event_inventory_kucab_damage_class_a23245085153bf2af0a291ff,main_manuscript_complete_panel_oof_predictions.csv,main_manuscript_complete_panel_fold_metrics.csv,,5-fold StratifiedGroupKFold grouped by agent_core,main_manuscript_complete_panel,main_manuscript_complete_panel_endpoint_results.csv,main_manuscript_complete_panel_endpoint_results.csv,60.0,main_manuscript_complete_panel,measured,main_manuscript_complete_panel,damage_class|burden_only|elastic_net,,,,,,,,,,,,,,,,,,,,,
figure_2_signature_baselines.csv,20260524T162414Z,damage_class,Kucab damage class,main,Main,kucab_damage_class,multiclass_grouped,Grouped multiclass,standard_sbs96_dbs78_id83,SBS96 + DBS78 + ID83 spectra,signatures_only,Mutational signatures,no UGA atlas,No UGA atlas,elastic_net,Elastic net,linear,Linear,macro_auroc,macro-AUROC,0.5960191712439127,0.5960191712439127,,0.332046332046332,0.220838580778856,0.2270141931014988,,,,0.009950248756218905,0.020826102047900034,259.0,261.0,5.0,1.0,,0.0,one_hot_event_inventory_kucab_damage_class_a23245085153bf2af0a291ff,main_manuscript_complete_panel_oof_predictions.csv,main_manuscript_complete_panel_fold_metrics.csv,,5-fold StratifiedGroupKFold grouped by agent_core,main_manuscript_complete_panel,main_manuscript_complete_panel_endpoint_results.csv,main_manuscript_complete_panel_endpoint_results.csv,60.0,main_manuscript_complete_panel,measured,main_manuscript_complete_panel,damage_class|signatures_only|elastic_net,figure_2:signatures_vs_burden,burden_only,Mutational burden,signatures_only,Mutational signatures,0.1365491687442516,paired_bootstrap_macro_auroc,0.01243781094527363,*,,,,,,,,,,,,
figure_2_signature_baselines.csv,20260524T162414Z,damage_class,Kucab damage class,main,Main,kucab_damage_class,multiclass_grouped,Grouped multiclass,burden_only,Mutational burden,burden_only,Mutational burden,no UGA atlas,No UGA atlas,XGBoost,XGBoost,xgboost,XGBoost,macro_auroc,macro-AUROC,0.4587688301509167,0.4587688301509167,,0.2548262548262548,0.1352033416395118,0.1697383567680661,,,,,,259.0,1.0,5.0,1.0,,0.0,one_hot_event_inventory_kucab_damage_class_a23245085153bf2af0a291ff,main_manuscript_complete_panel_oof_predictions.csv,main_manuscript_complete_panel_fold_metrics.csv,,5-fold StratifiedGroupKFold grouped by agent_core,main_manuscript_complete_panel,main_manuscript_complete_panel_endpoint_results.csv,main_manuscript_complete_panel_endpoint_results.csv,60.0,main_manuscript_complete_panel,measured,main_manuscript_complete_panel,damage_class|burden_only|XGBoost,,,,,,,,,,,,,,,,,,,,,
figure_2_signature_baselines.csv,20260524T162414Z,damage_class,Kucab damage class,main,Main,kucab_damage_class,multiclass_grouped,Grouped multiclass,standard_sbs96_dbs78_id83,SBS96 + DBS78 + ID83 spectra,signatures_only,Mutational signatures,no UGA atlas,No UGA atlas,XGBoost,XGBoost,xgboost,XGBoost,macro_auroc,macro-AUROC,0.6512250266350554,0.6512250266350554,,0.3436293436293436,0.2351008165847577,0.2437008681545258,,,,0.009950248756218905,0.020826102047900034,259.0,261.0,5.0,1.0,,0.0,one_hot_event_inventory_kucab_damage_class_a23245085153bf2af0a291ff,main_manuscript_complete_panel_oof_predictions.csv,main_manuscript_complete_panel_fold_metrics.csv,,5-fold StratifiedGroupKFold grouped by agent_core,main_manuscript_complete_panel,main_manuscript_complete_panel_endpoint_results.csv,main_manuscript_complete_panel_endpoint_results.csv,60.0,main_manuscript_complete_panel,measured,main_manuscript_complete_panel,damage_class|signatures_only|XGBoost,figure_2:signatures_vs_burden,burden_only,Mutational burden,signatures_only,Mutational signatures,0.1924561964841387,paired_bootstrap_macro_auroc,0.01243781094527363,*,,,,,,,,,,,,
figure_2_signature_baselines.csv,20260524T162414Z,HRD_Score,HRD score,main,Main,mc3_main,regression,Regression,burden_only,Mutational burden,burden_only,Mutational burden,no UGA atlas,No UGA atlas,elastic_net,Elastic net,linear,Linear,spearman,Spearman r,0.547778426978492,,,,,,,,,,,772.0,3.0,5.0,1.0,,0.0,main_complete_panel_mc3_standard_features_ac69638a19f207d649d56302,main_manuscript_complete_panel_oof_predictions.csv,main_manuscript_complete_panel_fold_metrics.csv,,5-fold KFold,main_manuscript_complete_panel,main_manuscript_complete_panel_endpoint_results.csv,main_manuscript_complete_panel_endpoint_results.csv,60.0,main_manuscript_complete_panel,measured,main_manuscript_complete_panel,HRD_Score|burden_only|elastic_net,,,,,,,,,,,,,,,,,,,,,
figure_2_signature_baselines.csv,20260524T162414Z,HRD_Score,HRD score,main,Main,mc3_main,regression,Regression,standard_sbs96_id83,SBS96 + ID83 spectra,signatures_only,Mutational signatures,no UGA atlas,No UGA atlas,elastic_net,Elastic net,linear,Linear,spearman,Spearman r,0.5102084408630586,,,,,,,,,0.1791044776119403,0.24799081515499424,772.0,182.0,5.0,1.0,,0.0,main_complete_panel_mc3_standard_features_ac69638a19f207d649d56302,main_manuscript_complete_panel_oof_predictions.csv,main_manuscript_complete_panel_fold_metrics.csv,,5-fold KFold,main_manuscript_complete_panel,main_manuscript_complete_panel_endpoint_results.csv,main_manuscript_complete_panel_endpoint_results.csv,60.0,main_manuscript_complete_panel,measured,main_manuscript_complete_panel,HRD_Score|signatures_only|elastic_net,figure_2:signatures_vs_burden,burden_only,Mutational burden,signatures_only,Mutational signatures,-0.037569986115433274,paired_bootstrap_spearman,0.1791044776119403,,,,,,,,,,,,,
figure_2_signature_baselines.csv,20260524T162414Z,HRD_Score,HRD score,main,Main,mc3_main,regression,Regression,burden_only,Mutational burden,burden_only,Mutational burden,no UGA atlas,No UGA atlas,XGBoost,XGBoost,xgboost,XGBoost,spearman,Spearman r,0.6148868436828168,,,,,,,,,,,772.0,3.0,5.0,1.0,,0.0,main_complete_panel_mc3_standard_features_5e7df4e23554036559289881,main_manuscript_complete_panel_oof_predictions.csv,main_manuscript_complete_panel_fold_metrics.csv,,5-fold KFold,main_manuscript_complete_panel,main_manuscript_complete_panel_endpoint_results.csv,main_manuscript_complete_panel_endpoint_results.csv,60.0,main_manuscript_complete_panel,measured,main_manuscript_complete_panel,HRD_Score|burden_only|XGBoost,,,,,,,,,,,,,,,,,,,,,
figure_2_signature_baselines.csv,20260524T162414Z,HRD_Score,HRD score,main,Main,mc3_main,regression,Regression,standard_sbs96_id83,SBS96 + ID83 spectra,signatures_only,Mutational signatures,no UGA atlas,No UGA atlas,XGBoost,XGBoost,xgboost,XGBoost,spearman,Spearman r,0.6939169227386798,,,,,,,,,0.009950248756218905,0.020826102047900034,772.0,182.0,5.0,1.0,,0.0,main_complete_panel_mc3_standard_features_5e7df4e23554036559289881,main_manuscript_complete_panel_oof_predictions.csv,main_manuscript_complete_panel_fold_metrics.csv,,5-fold KFold,main_manuscript_complete_panel,main_manuscript_complete_panel_endpoint_results.csv,main_manuscript_complete_panel_endpoint_results.csv,60.0,main_manuscript_complete_panel,measured,main_manuscript_complete_panel,HRD_Score|signatures_only|XGBoost,figure_2:signatures_vs_burden,burden_only,Mutational burden,signatures_only,Mutational signatures,0.07903007905586301,paired_bootstrap_spearman,0.01243781094527363,*,,,,,,,,,,,,
figure_2_signature_baselines.csv,20260524T162414Z,hrd_binary_33,HRD33 high/low,main,Main,mc3_main,binary,Binary classification,burden_only,Mutational burden,burden_only,Mutational burden,no UGA atlas,No UGA atlas,elastic_net,Elastic net,linear,Linear,auroc,AUROC,0.7947725034156261,0.7947725034156261,0.5694713178935986,0.7487046632124352,0.6949784932221064,0.6905125027801607,,,,,,772.0,3.0,5.0,1.0,,0.0,main_complete_panel_mc3_standard_features_ac69638a19f207d649d56302,main_manuscript_complete_panel_oof_predictions.csv,main_manuscript_complete_panel_fold_metrics.csv,,5-fold StratifiedKFold,main_manuscript_complete_panel,main_manuscript_complete_panel_endpoint_results.csv,main_manuscript_complete_panel_endpoint_results.csv,60.0,main_manuscript_complete_panel,measured,main_manuscript_complete_panel,hrd_binary_33|burden_only|elastic_net,,,,,,,,,,,,,,,,,,,,,
figure_2_signature_baselines.csv,20260524T162414Z,hrd_binary_33,HRD33 high/low,main,Main,mc3_main,binary,Binary classification,standard_sbs96_id83,SBS96 + ID83 spectra,signatures_only,Mutational signatures,no UGA atlas,No UGA atlas,elastic_net,Elastic net,linear,Linear,auroc,AUROC,0.7283941791376736,0.7283941791376736,0.5081311066569911,0.7046632124352331,0.6694411057692308,0.6818542878022432,,,,0.0011784768508670857,0.008838576381503142,772.0,182.0,5.0,1.0,,0.0,main_complete_panel_mc3_standard_features_ac69638a19f207d649d56302,main_manuscript_complete_panel_oof_predictions.csv,main_manuscript_complete_panel_fold_metrics.csv,,5-fold StratifiedKFold,main_manuscript_complete_panel,main_manuscript_complete_panel_endpoint_results.csv,main_manuscript_complete_panel_endpoint_results.csv,60.0,main_manuscript_complete_panel,measured,main_manuscript_complete_panel,hrd_binary_33|signatures_only|elastic_net,figure_2:signatures_vs_burden,burden_only,Mutational burden,signatures_only,Mutational signatures,-0.06637832427795254,paired_delong_auroc,0.0039282561695569524,**,,,,,,,,,,,,
